Title,Album,Artist,Err,A Cappella,Adventure,Alternative Rock,Animated Sitcom,Art Pop,Avant-Pop,Bedroom Pop,Blues,Bossa Nova,Brit-Folk,Chiptune,Comedy,Country Rock,Electropop,Fantasy,Folk,Folk Pop,Folktronica,Indie Pop,Indie Rock,Jazz Pop,Pop,Psychedelic Folk,Rock,Slapstick,Soft Rock,Synth-Pop,Video Game Music,Vocal Jazz
rises the moon,"The Water's Fine",Liana Flores,,,,,,,,,,1,1,,,,,,,1,,1,,1,,,,,,,,
Wicked Game,"Night & Day",Gemma Hayes,,,,1,,,,,,,,,,,,,1,,,,1,,,,,,,,,
Blackbird - Remastered 2009,"The Beatles (The White Album)",The Beatles,,,,,,,,,,,,,,,,,1,,,,,,1,,1,,,,,
"Lay, Lady, Lay",Nashville Skyline,Bob Dylan,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,
"Child's Play",,Jeff van Dyck,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,1,
Home,UNDERTALE Soundtrack,Toby Fox,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,1,
Life On Mars,,AURORA,,,,,,1,,,,,,,,,1,,,,,,,,,,,,,1,,
Time in a Bottle,"You Don't Mess Around with Jim",Jim Croce,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,
Hide and Seek,Speak for Yourself,Imogen Heap,,1,,,,,,,,,,,,,,,,,1,,,,,,,,,,,
"when the party's over","WHEN WE ALL FALL ASLEEP, WHERE DO WE GO?",Billie Eilish,,,,,,1,1,,,,,,,,1,,,,,,,,1,,,,,,,
Sweet Nothing,Midnights,Taylor Swift,,,,,,,,1,,,,,,,,,,,,,,,,,,,1,,,
Mad World,Trading Snakeoil for Wolftickets,Gary Jules,,,,1,,,,,1,,,,,,,,1,,,,,,,,,,,,,
Soulmate,,Jeff van Dyck,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,1,
Lemon Sour in Shinjuku,,"Mr. Shirai",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Scheherezade, Op. 35: I. The Sea and Sinbad's Ship","Scheherazade, Op. 35",Nikolai Rimsky-Korsakov,,,1,,1,,,,,,,,1,,,1,,,,,,,,,,1,,,,
A Movement for Rosa,,Mark Camphouse,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Toccata & Fugue in D Minor, BWV 565: Toccata",,Johann Sebastian Bach,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Scheherezade, Op. 35: III. The Young Prince and the Young Princess","Scheherazade, Op. 35",Nikolai Rimsky-Korsakov,,,1,,1,,,,,,,,1,,,1,,,,,,,,,,1,,,,
"Simple Gifts: Four Shaker Songs: No. 3. Here Take This Lovely Flower","Simple Gifts: Four Shaker Songs",Frank Ticheli,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Concertino for 4 Percussion and Wind Ensemble,,"David R. Gillingham",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Vesuvius,,Frank Ticheli,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Scheherezade, Op. 35: II. The Story of the Kalendar Prince","Scheherazade, Op. 35",Nikolai Rimsky-Korsakov,,,1,,1,,,,,,,,1,,,1,,,,,,,,,,1,,,,
Rhapsody in Blue,,George Gershwin,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
Variations on a Korean Folk Song,,"US Army Field Band and Soldiers' Chorus",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Blue Shades,Blue Shades,Frank Ticheli,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Simple Gifts: Four Shaker Songs: No. 4. Simple Gifts","Simple Gifts: Four Shaker Songs",Frank Ticheli,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Children's March, ""Over the Hills and Far Away""","Children's March: Over the Hills and Far Away",Percy Grainger,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Simple Gifts: Four Shaker Songs: No. 1. In Yonder Valley","Simple Gifts: Four Shaker Songs",Frank Ticheli,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Suite No. 2 in F Major, Op. 28, No. 2: IV. Fantasia on the Dargason","Second Suite in F for Military Band, Op. 28, No. 2",Gustav Holst,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Suite Española No. 1, Op. 47: No. 5, Asturias (Arr. J. Williams for Guitar)","Suite Española No. 1, Op. 47","Isaac Albéniz",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
